총인구수,세대수,세대당인구,남자인구수,여자인구수,남여비율,행정코드,구분,구,동,성비,여성비율,시_인구비중,유형,세대당인구_편차,면적,위도,경도,인구밀도,지역유형,세대구조,성비구분
19137,7954,2.41,9419,9718,0.97,4146351700,읍면동,기흥구,영덕2동,96.92323523358716,50.78120917594189,1.753779832219255,동,-0.020000000000000018,4.678351394832134,37.25668077274029,127.09246777638033,4090.543523759113,가족중심·여성우위,가족중심,여성우위
39961,18017,2.22,20203,19758,1.02,4146352000,읍면동,기흥구,구갈동,102.25225225225225,49.44320712694877,3.662162087856699,동,-0.20999999999999996,4.161412104964256,37.27705968036849,127.12311102299535,9602.749978145517,소규모세대·남성우위,소규모세대,남성우위
12481,6120,2.04,6424,6057,1.06,4146353000,읍면동,기흥구,상갈동,106.05910516757471,48.52976524316962,1.1438013317619544,동,-0.3900000000000001,1.961820024996996,37.26564021337195,127.1109568696527,6361.949537149369,소규모세대·남성우위,소규모세대,남성우위
32427,12532,2.59,16009,16418,0.98,4146353500,읍면동,기흥구,보라동,97.50883177000853,50.63064730008943,2.971720678234508,동,0.1599999999999997,10.212387178093195,37.245124033541344,127.13093392604738,3175.261516676516,가족중심·여성우위,가족중심,여성우위
20737,9125,2.27,10275,10462,0.98,4146354000,읍면동,기흥구,기흥동,98.21257885681514,50.4508848917394,1.9004092794445677,동,-0.16000000000000014,11.660744573920965,37.23094605121662,127.11450388321678,1778.3598524555548,소규모세대·여성우위,소규모세대,여성우위
24552,10993,2.23,12420,12132,1.02,4146355000,읍면동,기흥구,서농동,102.37388724035608,49.41348973607038,2.2500288676724227,동,-0.20000000000000018,5.593418255448341,37.23425135947201,127.08109335247691,4389.444679214684,소규모세대·남성우위,소규모세대,남성우위
38395,15336,2.5,18408,19987,0.92,4146356000,읍면동,기흥구,구성동,92.09986491219293,52.05625732517255,3.5186485163849244,동,0.06999999999999984,6.700694728642702,37.29544599079272,127.14104528446478,5730.002866102411,가족중심·여성우위,가족중심,여성우위
33584,13157,2.55,16392,17192,0.95,4146357000,읍면동,기흥구,마북동,95.34667287110284,51.19104335397808,3.0777520972593124,동,0.11999999999999966,5.257959835231304,37.30624301584603,127.12756771407264,6387.268266099754,가족중심·여성우위,가족중심,여성우위
30995,11598,2.67,14852,16143,0.92,4146357200,읍면동,기흥구,동백1동,92.00272563959611,52.08259396676883,2.8404873229678533,동,0.23999999999999977,4.142178721725941,37.285936853747046,127.16458021279117,7482.777079953028,가족중심·여성우위,가족중심,여성우위
26164,9412,2.78,12806,13358,0.96,4146357500,읍면동,기흥구,동백2동,95.86764485701453,51.054884574224126,2.397758035751925,동,0.34999999999999964,4.855467200279236,37.26662634319453,127.16161626080358,5388.564873529641,가족중심·여성우위,가족중심,여성우위
